ticker,market_date,price,open,high,low,volume,change
BTC,12/23/2020,23257.9,23820.8,24063.7,22694.7,178.47K,-2.37%
BTC,12/22/2020,23823.2,22730.4,23825.4,22388.6,130.75K,4.82%
BTC,12/21/2020,22728.5,23474.1,24101.9,22015.5,154.69K,-3.18%
BTC,12/20/2020,23474.9,23843.6,24280.9,23098.9,114.09K,-1.55%
BTC,12/19/2020,23844,23127.6,24107.1,22797,133.88K,3.10%
BTC,12/18/2020,23127.9,22823.3,23272.8,22361.5,131.80K,1.33%
BTC,12/17/2020,22825.4,21352.3,23738,21243.1,310.74K,6.90%
BTC,12/16/2020,21352.2,19434.7,21525.3,19299.7,199.81K,9.87%
BTC,12/15/2020,19434.9,19273.9,19556.3,19076.2,98.39K,0.84%
BTC,12/14/2020,19273.8,19176.4,19346.5,19007,67.11K,0.51%
BTC,12/13/2020,19176.8,18808.1,19403.6,18716.8,82.45K,1.96%
BTC,12/12/2020,18808.9,18026.7,18936.2,18025.1,71.37K,4.36%
BTC,12/11/2020,18023.6,18250.5,18288.3,17600.1,111.53K,-1.23%
BTC,12/10/2020,18247.2,18546.1,18551.8,17926.8,85.31K,-1.61%
BTC,12/9/2020,18546,18322.4,18637.9,17658.8,129.72K,1.20%
BTC,12/8/2020,18326.6,19170.8,19288.6,18229.2,101.41K,-4.40%
BTC,12/7/2020,19170.7,19368.4,19424.6,18908.8,61.98K,-1.08%
BTC,12/6/2020,19379.9,19146,19417.1,18873,54.56K,1.22%
BTC,12/5/2020,19146.5,18657.5,19172.7,18507.1,59.44K,2.62%
BTC,12/4/2020,18658.1,19431.1,19529.5,18610.8,110.63K,-3.99%
BTC,12/3/2020,19433.3,19219.8,19596.6,18883.7,99.97K,1.12%
BTC,12/2/2020,19218.8,18767.9,19335.5,18346.7,91.92K,2.39%
BTC,12/1/2020,18770.7,19697.8,19897.4,18257,208.72K,-4.71%
BTC,11/30/2020,19698.1,18186,19831.2,18186,185.59K,8.32%
